Strategia,Configurazione,"Vittoria (1=Si, 0=No)"
SmartLookahead,1,1
SmartLookahead,2,1
SmartLookahead,3,1
SmartLookahead,4,1
SmartLookahead,5,1
SmartLookahead,6,1
SmartLookahead,7,1
SmartLookahead,8,1
SmartLookahead,9,1
SmartLookahead,10,1
SmartLookahead,11,1
SmartLookahead,12,1
SmartLookahead,13,1
SmartLookahead,14,1
SmartLookahead,15,1
SmartLookahead,16,1
SmartLookahead,17,1
SmartLookahead,18,1
SmartLookahead,19,1
SmartLookahead,20,1
SmartLookahead,21,1
SmartLookahead,22,1
SmartLookahead,23,1
SmartLookahead,24,1
SmartLookahead,25,1
SmartLookahead,26,1
SmartLookahead,27,1
SmartLookahead,28,1
SmartLookahead,29,1
SmartLookahead,30,1
SmartLookahead,31,1
SmartLookahead,32,1
SmartLookahead,33,1
SmartLookahead,34,1
SmartLookahead,35,1
SmartLookahead,36,1
SmartLookahead,37,1
SmartLookahead,38,1
SmartLookahead,39,1
SmartLookahead,40,1
SmartLookahead,41,1
SmartLookahead,42,1
SmartLookahead,43,1
SmartLookahead,44,1
SmartLookahead,45,1
SmartLookahead,46,1
SmartLookahead,47,1
SmartLookahead,48,1
SmartLookahead,49,1
SmartLookahead,50,1
SmartLookahead,51,1
SmartLookahead,52,1
SmartLookahead,53,1
SmartLookahead,54,1
SmartLookahead,55,1
SmartLookahead,56,1
SmartLookahead,57,1
SmartLookahead,58,1
SmartLookahead,59,1
SmartLookahead,60,1
SmartLookahead,61,1
SmartLookahead,62,1
SmartLookahead,63,1
SmartLookahead,64,1
SmartLookahead,65,1
SmartLookahead,66,1
SmartLookahead,67,1
SmartLookahead,68,1
SmartLookahead,69,1
SmartLookahead,70,1
SmartLookahead,71,1
SmartLookahead,72,1
SmartLookahead,73,1
SmartLookahead,74,1
SmartLookahead,75,1
SmartLookahead,76,1
SmartLookahead,77,1
SmartLookahead,78,1
SmartLookahead,79,1
SmartLookahead,80,1
SmartLookahead,81,1
SmartLookahead,82,1
SmartLookahead,83,1
SmartLookahead,84,1
SmartLookahead,85,1
SmartLookahead,86,1
SmartLookahead,87,1
SmartLookahead,88,0
SmartLookahead,89,1
SmartLookahead,90,1
SmartLookahead,91,1
SmartLookahead,92,1
SmartLookahead,93,1
SmartLookahead,94,1
SmartLookahead,95,1
SmartLookahead,96,1
SmartLookahead,97,1
SmartLookahead,98,1
SmartLookahead,99,1
SmartLookahead,100,1
Goat5,1,1
Goat5,2,0
Goat5,3,1
Goat5,4,0
Goat5,5,1
Goat5,6,1
Goat5,7,1
Goat5,8,1
Goat5,9,1
Goat5,10,1
Goat5,11,1
Goat5,12,1
Goat5,13,1
Goat5,14,1
Goat5,15,1
Goat5,16,1
Goat5,17,1
Goat5,18,1
Goat5,19,1
Goat5,20,1
Goat5,21,1
Goat5,22,1
Goat5,23,1
Goat5,24,1
Goat5,25,1
Goat5,26,1
Goat5,27,1
Goat5,28,1
Goat5,29,0
Goat5,30,1
Goat5,31,1
Goat5,32,1
Goat5,33,1
Goat5,34,0
Goat5,35,1
Goat5,36,1
Goat5,37,0
Goat5,38,1
Goat5,39,0
Goat5,40,0
Goat5,41,1
Goat5,42,1
Goat5,43,1
Goat5,44,1
Goat5,45,1
Goat5,46,0
Goat5,47,1
Goat5,48,1
Goat5,49,1
Goat5,50,0
Goat5,51,1
Goat5,52,1
Goat5,53,1
Goat5,54,1
Goat5,55,1
Goat5,56,0
Goat5,57,1
Goat5,58,1
Goat5,59,1
Goat5,60,1
Goat5,61,1
Goat5,62,1
Goat5,63,0
Goat5,64,1
Goat5,65,1
Goat5,66,1
Goat5,67,1
Goat5,68,1
Goat5,69,1
Goat5,70,1
Goat5,71,1
Goat5,72,1
Goat5,73,1
Goat5,74,1
Goat5,75,1
Goat5,76,1
Goat5,77,1
Goat5,78,1
Goat5,79,1
Goat5,80,1
Goat5,81,1
Goat5,82,1
Goat5,83,1
Goat5,84,1
Goat5,85,1
Goat5,86,1
Goat5,87,1
Goat5,88,1
Goat5,89,1
Goat5,90,0
Goat5,91,1
Goat5,92,1
Goat5,93,1
Goat5,94,1
Goat5,95,1
Goat5,96,1
Goat5,97,1
Goat5,98,0
Goat5,99,1
Goat5,100,1
Goat?,1,1
Goat?,2,1
Goat?,3,1
Goat?,4,1
Goat?,5,1
Goat?,6,1
Goat?,7,1
Goat?,8,1
Goat?,9,1
Goat?,10,1
Goat?,11,1
Goat?,12,1
Goat?,13,1
Goat?,14,1
Goat?,15,1
Goat?,16,1
Goat?,17,1
Goat?,18,1
Goat?,19,1
Goat?,20,1
Goat?,21,1
Goat?,22,1
Goat?,23,1
Goat?,24,1
Goat?,25,1
Goat?,26,1
Goat?,27,1
Goat?,28,1
Goat?,29,1
Goat?,30,1
Goat?,31,1
Goat?,32,1
Goat?,33,1
Goat?,34,1
Goat?,35,1
Goat?,36,1
Goat?,37,1
Goat?,38,1
Goat?,39,1
Goat?,40,1
Goat?,41,1
Goat?,42,1
Goat?,43,1
Goat?,44,1
Goat?,45,1
Goat?,46,1
Goat?,47,1
Goat?,48,1
Goat?,49,1
Goat?,50,1
Goat?,51,1
Goat?,52,1
Goat?,53,1
Goat?,54,1
Goat?,55,1
Goat?,56,1
Goat?,57,1
Goat?,58,1
Goat?,59,1
Goat?,60,1
Goat?,61,1
Goat?,62,1
Goat?,63,1
Goat?,64,1
Goat?,65,1
Goat?,66,1
Goat?,67,1
Goat?,68,1
Goat?,69,1
Goat?,70,1
Goat?,71,1
Goat?,72,1
Goat?,73,1
Goat?,74,1
Goat?,75,1
Goat?,76,1
Goat?,77,1
Goat?,78,1
Goat?,79,1
Goat?,80,1
Goat?,81,1
Goat?,82,1
Goat?,83,1
Goat?,84,1
Goat?,85,1
Goat?,86,1
Goat?,87,1
Goat?,88,1
Goat?,89,1
Goat?,90,1
Goat?,91,1
Goat?,92,1
Goat?,93,1
Goat?,94,1
Goat?,95,1
Goat?,96,1
Goat?,97,1
Goat?,98,1
Goat?,99,1
Goat?,100,1
V1,1,1
V1,2,1
V1,3,1
V1,4,1
V1,5,1
V1,6,0
V1,7,1
V1,8,0
V1,9,0
V1,10,0
V1,11,1
V1,12,1
V1,13,1
V1,14,0
V1,15,0
V1,16,0
V1,17,0
V1,18,1
V1,19,0
V1,20,1
V1,21,0
V1,22,1
V1,23,0
V1,24,1
V1,25,1
V1,26,0
V1,27,1
V1,28,0
V1,29,1
V1,30,1
V1,31,1
V1,32,0
V1,33,1
V1,34,1
V1,35,1
V1,36,0
V1,37,0
V1,38,0
V1,39,0
V1,40,0
V1,41,0
V1,42,0
V1,43,1
V1,44,1
V1,45,1
V1,46,1
V1,47,1
V1,48,1
V1,49,0
V1,50,0
V1,51,1
V1,52,1
V1,53,0
V1,54,1
V1,55,1
V1,56,1
V1,57,1
V1,58,0
V1,59,0
V1,60,0
V1,61,1
V1,62,1
V1,63,1
V1,64,0
V1,65,1
V1,66,0
V1,67,0
V1,68,1
V1,69,1
V1,70,0
V1,71,0
V1,72,1
V1,73,0
V1,74,0
V1,75,0
V1,76,0
V1,77,0
V1,78,0
V1,79,0
V1,80,0
V1,81,0
V1,82,0
V1,83,0
V1,84,0
V1,85,1
V1,86,1
V1,87,1
V1,88,1
V1,89,1
V1,90,1
V1,91,1
V1,92,0
V1,93,1
V1,94,1
V1,95,1
V1,96,1
V1,97,0
V1,98,1
V1,99,1
V1,100,1
we2,1,1
we2,2,1
we2,3,1
we2,4,1
we2,5,1
we2,6,1
we2,7,1
we2,8,1
we2,9,1
we2,10,1
we2,11,1
we2,12,1
we2,13,1
we2,14,1
we2,15,1
we2,16,1
we2,17,1
we2,18,1
we2,19,1
we2,20,1
we2,21,1
we2,22,1
we2,23,1
we2,24,1
we2,25,1
we2,26,1
we2,27,0
we2,28,1
we2,29,1
we2,30,0
we2,31,1
we2,32,1
we2,33,1
we2,34,1
we2,35,1
we2,36,1
we2,37,1
we2,38,1
we2,39,1
we2,40,0
we2,41,1
we2,42,0
we2,43,1
we2,44,1
we2,45,1
we2,46,1
we2,47,1
we2,48,1
we2,49,1
we2,50,1
we2,51,1
we2,52,1
we2,53,1
we2,54,1
we2,55,1
we2,56,1
we2,57,1
we2,58,1
we2,59,1
we2,60,1
we2,61,1
we2,62,1
we2,63,0
we2,64,1
we2,65,1
we2,66,1
we2,67,1
we2,68,0
we2,69,1
we2,70,1
we2,71,1
we2,72,1
we2,73,1
we2,74,1
we2,75,1
we2,76,1
we2,77,1
we2,78,0
we2,79,1
we2,80,1
we2,81,1
we2,82,0
we2,83,0
we2,84,1
we2,85,1
we2,86,1
we2,87,0
we2,88,1
we2,89,0
we2,90,0
we2,91,1
we2,92,1
we2,93,1
we2,94,1
we2,95,0
we2,96,1
we2,97,1
we2,98,1
we2,99,1
we2,100,1
